task,speaker_id,tts_method,fid_score,csim_score,csim_std,original_video,generated_video
task_17,A014,YourTTS,11.91617488861084,0.8413252,0.03952714,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A014_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A014_02_BBP_NORMAL_color_25fps_6sec_YT_A014_VCTK_cloned.mp4
task_18,A015,CosyVoice,112.45003509521484,0.96937144,0.0114794215,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A015_02_DDK_PATAKA_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A015_02_DDK_PATAKA_color_25fps_6sec_CV_A015_VCTK_cloned.mp4
task_19,A015,XTTSv2,131.00311279296875,0.96717966,0.009751585,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A015_02_DDK_PATAKA_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A015_02_DDK_PATAKA_color_25fps_6sec_XT_A015_VCTK_cloned.mp4
task_20,A015,YourTTS,139.3983612060547,0.9642415,0.011845347,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A015_02_DDK_PATAKA_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A015_02_DDK_PATAKA_color_25fps_6sec_YT_A015_VCTK_cloned.mp4
task_21,A016,CosyVoice,18.63727378845215,0.86674076,0.030917674,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A016_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A016_02_BBP_NORMAL_color_25fps_6sec_CV_A016_VCTK_cloned.mp4
task_22,A016,XTTSv2,20.232830047607422,0.8620717,0.027584318,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A016_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A016_02_BBP_NORMAL_color_25fps_6sec_XT_A016_VCTK_cloned.mp4
task_23,A016,YourTTS,19.86168670654297,0.86664873,0.03189878,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A016_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A016_02_BBP_NORMAL_color_25fps_6sec_YT_A016_VCTK_cloned.mp4
task_24,A017,CosyVoice,10.758586883544922,0.9474004,0.018474132,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A017_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A017_02_BBP_NORMAL_color_25fps_6sec_CV_A017_VCTK_cloned.mp4
task_25,A017,XTTSv2,11.146262168884277,0.9293991,0.032494515,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A017_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A017_02_BBP_NORMAL_color_25fps_6sec_XT_A017_VCTK_cloned.mp4
task_26,A017,YourTTS,13.433362007141113,0.9240783,0.031742662,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/als-input/A017_02_BBP_NORMAL_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/A017_02_BBP_NORMAL_color_25fps_6sec_YT_A017_VCTK_cloned.mp4
task_27,S001,CosyVoice,31.93075942993164,0.82697016,0.03654906,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S001_02_DDK_PA_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S001_02_DDK_PA_color_25fps_6sec_CV_S001_VCTK_cloned.mp4
task_28,S001,XTTSv2,29.016008377075195,0.8280014,0.037682347,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S001_02_DDK_PA_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S001_02_DDK_PA_color_25fps_6sec_XT_S001_VCTK_cloned.mp4
task_29,S001,YourTTS,31.23343276977539,0.8356879,0.038800307,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S001_02_DDK_PA_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S001_02_DDK_PA_color_25fps_6sec_YT_S001_VCTK_cloned.mp4
task_30,S002,CosyVoice,29.18902587890625,0.92053646,0.022151448,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S002_02_DDK_PA_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S002_02_DDK_PA_color_25fps_6sec_CV_S002_VCTK_cloned.mp4
task_31,S002,XTTSv2,20.629074096679688,0.93735564,0.022862826,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/data/video/stroke-input/S002_02_DDK_PA_color_25fps_6sec.mp4,/home/is/lathifgalih-k/research_naist/multimodal-clone/clone-video/muse-exp/MuseTalk/results/test_vctk/v15/VCTK/S002_02_DDK_PA_color_25fps_6sec_XT_S002_VCTK_cloned.mp4
