Dataset,Model,ALS_LSE_C,ALS_LSE_D,ALS_Count,Stroke_LSE_C,Stroke_LSE_D,Stroke_Count
RAW,MuseTalk,2.71501825650533,11.33853661219279,27,2.715018256505331,11.338536612192792,33
VCTK,MuseTalk,2.2330480257670087,10.511787621180217,27,2.2330480257670087,10.511787621180217,33
RAW,EDTalk_V15,2.9675646543502814,9.928580323855082,27,2.9675646543502814,9.928580323855083,33
RAW,EDTalk_Avatar,4.456900191307068,9.095940446853636,27,4.456900191307069,9.095940446853634,33
VCTK,EDTalk_V15,3.252932866414388,9.224697748819986,27,3.2529328664143886,9.224697748819988,33
VCTK,EDTalk_Avatar,4.21184024810791,8.795238494873047,27,4.211840248107911,8.795238494873047,33
