dataset,speaker_id,tts_method,lse_d_score,lse_c_score,video_file
RAW,S001,CosyVoice,11.33853661219279,2.7150182565053305,S001_02_DDK_PA_color_25fps_6sec_CV_S001_PA_cloned.mp4
RAW,A014,YourTTS,11.33853661219279,2.7150182565053305,A014_02_BBP_NORMAL_color_25fps_6sec_YT_A014_BBP_cloned.mp4
RAW,S013,YourTTS,11.33853661219279,2.7150182565053305,S013_02_BBP_NORMAL_color_25fps_6sec_YT_S013_BBP_cloned.mp4
RAW,A011,YourTTS,11.33853661219279,2.7150182565053305,A011_02_BBP_NORMAL_color_25fps_6sec_YT_A011_BBP_cloned.mp4
RAW,S005,YourTTS,11.33853661219279,2.7150182565053305,S005_02_BBP_NORMAL_color_25fps_6sec_YT_S005_BBP_cloned.mp4
RAW,A002,YourTTS,11.33853661219279,2.7150182565053305,A002_02_BBP_NORMAL_color_25fps_6sec_YT_A002_BBP_cloned.mp4
RAW,S003,XTTSv2,11.33853661219279,2.7150182565053305,S003_02_BBP_NORMAL_color_25fps_6sec_XT_S003_BBP_cloned.mp4
RAW,A010,CosyVoice,11.33853661219279,2.7150182565053305,A010_02_BBP_NORMAL_color_25fps_6sec_CV_A010_BBP_cloned.mp4
RAW,A017,XTTSv2,11.33853661219279,2.7150182565053305,A017_02_BBP_NORMAL_color_25fps_6sec_XT_A017_BBP_cloned.mp4
RAW,S001,XTTSv2,11.33853661219279,2.7150182565053305,S001_02_DDK_PA_color_25fps_6sec_XT_S001_PA_cloned.mp4
RAW,S008,YourTTS,11.33853661219279,2.7150182565053305,S008_02_BBP_NORMAL_color_25fps_6sec_YT_S008_BBP_cloned.mp4
RAW,S006,YourTTS,11.33853661219279,2.7150182565053305,S006_02_BBP_NORMAL_color_25fps_6sec_YT_S006_BBP_cloned.mp4
RAW,A015,YourTTS,11.33853661219279,2.7150182565053305,A015_02_DDK_PATAKA_color_25fps_6sec_YT_A015_PATAKA_cloned.mp4
RAW,S009,CosyVoice,11.33853661219279,2.7150182565053305,S009_02_BBP_NORMAL_color_25fps_6sec_CV_S009_BBP_cloned.mp4
RAW,S013,XTTSv2,11.33853661219279,2.7150182565053305,S013_02_BBP_NORMAL_color_25fps_6sec_XT_S013_BBP_cloned.mp4
RAW,A014,XTTSv2,11.33853661219279,2.7150182565053305,A014_02_BBP_NORMAL_color_25fps_6sec_XT_A014_BBP_cloned.mp4
RAW,S007,CosyVoice,11.33853661219279,2.7150182565053305,S007_02_BBP_NORMAL_color_25fps_6sec_CV_S007_BBP_cloned.mp4
VCTK,S013,CosyVoice,10.511787621180217,2.2330480257670087,S013_02_BBP_NORMAL_color_25fps_6sec_CV_S013_VCTK_cloned.mp4
VCTK,S012,YourTTS,10.511787621180217,2.2330480257670087,S012_02_BBP_NORMAL_color_25fps_6sec_YT_S012_VCTK_cloned.mp4
VCTK,A010,CosyVoice,10.511787621180217,2.2330480257670087,A010_02_BBP_NORMAL_color_25fps_6sec_CV_A010_VCTK_cloned.mp4
VCTK,A011,YourTTS,10.511787621180217,2.2330480257670087,A011_02_BBP_NORMAL_color_25fps_6sec_YT_A011_VCTK_cloned.mp4
VCTK,A002,CosyVoice,10.511787621180217,2.2330480257670087,A002_02_BBP_NORMAL_color_25fps_6sec_CV_A002_VCTK_cloned.mp4
VCTK,S012,CosyVoice,10.511787621180217,2.2330480257670087,S012_02_BBP_NORMAL_color_25fps_6sec_CV_S012_VCTK_cloned.mp4
VCTK,S013,YourTTS,10.511787621180217,2.2330480257670087,S013_02_BBP_NORMAL_color_25fps_6sec_YT_S013_VCTK_cloned.mp4
VCTK,S003,XTTSv2,10.511787621180217,2.2330480257670087,S003_02_BBP_NORMAL_color_25fps_6sec_XT_S003_VCTK_cloned.mp4
VCTK,A011,CosyVoice,10.511787621180217,2.2330480257670087,A011_02_BBP_NORMAL_color_25fps_6sec_CV_A011_VCTK_cloned.mp4
VCTK,A010,YourTTS,10.511787621180217,2.2330480257670087,A010_02_BBP_NORMAL_color_25fps_6sec_YT_A010_VCTK_cloned.mp4
VCTK,A002,YourTTS,10.511787621180217,2.2330480257670087,A002_02_BBP_NORMAL_color_25fps_6sec_YT_A002_VCTK_cloned.mp4
VCTK,S011,XTTSv2,10.511787621180217,2.2330480257670087,S011_02_BBP_NORMAL_color_25fps_6sec_XT_S011_VCTK_cloned.mp4
VCTK,S012,XTTSv2,10.511787621180217,2.2330480257670087,S012_02_BBP_NORMAL_color_25fps_6sec_XT_S012_VCTK_cloned.mp4
VCTK,S003,CosyVoice,10.511787621180217,2.2330480257670087,S003_02_BBP_NORMAL_color_25fps_6sec_CV_S003_VCTK_cloned.mp4
VCTK,A011,XTTSv2,10.511787621180217,2.2330480257670087,A011_02_BBP_NORMAL_color_25fps_6sec_XT_A011_VCTK_cloned.mp4
VCTK,S011,CosyVoice,10.511787621180217,2.2330480257670087,S011_02_BBP_NORMAL_color_25fps_6sec_CV_S011_VCTK_cloned.mp4
VCTK,S003,YourTTS,10.511787621180217,2.2330480257670087,S003_02_BBP_NORMAL_color_25fps_6sec_YT_S003_VCTK_cloned.mp4
VCTK,S013,XTTSv2,10.511787621180217,2.2330480257670087,S013_02_BBP_NORMAL_color_25fps_6sec_XT_S013_VCTK_cloned.mp4
VCTK,A010,XTTSv2,10.511787621180217,2.2330480257670087,A010_02_BBP_NORMAL_color_25fps_6sec_XT_A010_VCTK_cloned.mp4
VCTK,A002,XTTSv2,10.511787621180217,2.2330480257670087,A002_02_BBP_NORMAL_color_25fps_6sec_XT_A002_VCTK_cloned.mp4
VCTK,S011,YourTTS,10.511787621180217,2.2330480257670087,S011_02_BBP_NORMAL_color_25fps_6sec_YT_S011_VCTK_cloned.mp4
VCTK,S001,XTTSv2,10.511787621180217,2.2330480257670087,S001_02_DDK_PA_color_25fps_6sec_XT_S001_VCTK_cloned.mp4
VCTK,A014,CosyVoice,10.511787621180217,2.2330480257670087,A014_02_BBP_NORMAL_color_25fps_6sec_CV_A014_VCTK_cloned.mp4
VCTK,S009,YourTTS,10.511787621180217,2.2330480257670087,S009_02_BBP_NORMAL_color_25fps_6sec_YT_S009_VCTK_cloned.mp4
VCTK,S008,CosyVoice,10.511787621180217,2.2330480257670087,S008_02_BBP_NORMAL_color_25fps_6sec_CV_S008_VCTK_cloned.mp4
VCTK,S006,XTTSv2,10.511787621180217,2.2330480257670087,S006_02_BBP_NORMAL_color_25fps_6sec_XT_S006_VCTK_cloned.mp4
VCTK,S002,CosyVoice,10.511787621180217,2.2330480257670087,S002_02_DDK_PA_color_25fps_6sec_CV_S002_VCTK_cloned.mp4
VCTK,S005,CosyVoice,10.511787621180217,2.2330480257670087,S005_02_BBP_NORMAL_color_25fps_6sec_CV_S005_VCTK_cloned.mp4
VCTK,A008,XTTSv2,10.511787621180217,2.2330480257670087,A008_02_BBP_NORMAL_color_25fps_6sec_XT_A008_VCTK_cloned.mp4
VCTK,A006,CosyVoice,10.511787621180217,2.2330480257670087,A006_02_BBP_NORMAL_color_25fps_6sec_CV_A006_VCTK_cloned.mp4
VCTK,A017,XTTSv2,10.511787621180217,2.2330480257670087,A017_02_BBP_NORMAL_color_25fps_6sec_XT_A017_VCTK_cloned.mp4
VCTK,A015,XTTSv2,10.511787621180217,2.2330480257670087,A015_02_DDK_PATAKA_color_25fps_6sec_XT_A015_VCTK_cloned.mp4
VCTK,A014,YourTTS,10.511787621180217,2.2330480257670087,A014_02_BBP_NORMAL_color_25fps_6sec_YT_A014_VCTK_cloned.mp4
VCTK,S007,XTTSv2,10.511787621180217,2.2330480257670087,S007_02_BBP_NORMAL_color_25fps_6sec_XT_S007_VCTK_cloned.mp4
VCTK,S008,YourTTS,10.511787621180217,2.2330480257670087,S008_02_BBP_NORMAL_color_25fps_6sec_YT_S008_VCTK_cloned.mp4
VCTK,S009,CosyVoice,10.511787621180217,2.2330480257670087,S009_02_BBP_NORMAL_color_25fps_6sec_CV_S009_VCTK_cloned.mp4
VCTK,S005,YourTTS,10.511787621180217,2.2330480257670087,S005_02_BBP_NORMAL_color_25fps_6sec_YT_S005_VCTK_cloned.mp4
VCTK,A016,XTTSv2,10.511787621180217,2.2330480257670087,A016_02_BBP_NORMAL_color_25fps_6sec_XT_A016_VCTK_cloned.mp4
VCTK,A006,YourTTS,10.511787621180217,2.2330480257670087,A006_02_BBP_NORMAL_color_25fps_6sec_YT_A006_VCTK_cloned.mp4
VCTK,S002,YourTTS,10.511787621180217,2.2330480257670087,S002_02_DDK_PA_color_25fps_6sec_YT_S002_VCTK_cloned.mp4
