Dataset,TTS_Method,V15_LSE_D,V15_LSE_C,Avatar_LSE_D,Avatar_LSE_C,LSE_D_Improvement,LSE_C_Improvement
RAW,CosyVoice,9.92858032385508,2.9675646543502814,9.095940446853636,4.456900191307069,0.8326398770014443,1.4893355369567876
RAW,XTTSv2,9.92858032385508,2.9675646543502814,9.095940446853636,4.456900191307069,0.8326398770014443,1.4893355369567876
RAW,YourTTS,9.92858032385508,2.9675646543502814,9.095940446853636,4.456900191307069,0.8326398770014443,1.4893355369567876
VCTK,CosyVoice,9.224697748819985,3.252932866414388,8.795238494873047,4.211840248107909,0.42945925394693774,0.9589073816935207
VCTK,XTTSv2,9.224697748819985,3.252932866414388,8.795238494873047,4.211840248107909,0.42945925394693774,0.9589073816935207
VCTK,YourTTS,9.224697748819985,3.252932866414388,8.795238494873047,4.211840248107909,0.42945925394693774,0.9589073816935207
