Dataset,Model,ALS_LSE_C,Stroke_LSE_C
RAW,MuseTalk,2.71501825650533,2.715018256505331
VCTK,MuseTalk,2.2330480257670087,2.2330480257670087
RAW,EDTalk,2.9675646543502814,2.9675646543502814
VCTK,EDTalk,3.252932866414388,3.2529328664143886
RAW,Avatar-EDTalk,4.456900191307068,4.456900191307069
VCTK,Avatar-EDTalk,4.21184024810791,4.211840248107911
