Dataset,Data_Type,Speaker_ID,Count,LSE_D_Mean,LSE_D_Std,LSE_C_Mean,LSE_C_Std,TTS_Methods
RAW,avatar,A002,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,A006,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,A008,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,A010,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,A011,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,A014,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,A015,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,A016,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,A017,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S001,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S002,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S003,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S005,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S006,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S007,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S008,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S009,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S011,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S012,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,avatar,S013,3,9.095940446853637,0.0,4.456900191307068,0.0,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,A002,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,A006,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,A008,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,A010,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,A011,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,A014,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,A015,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,A016,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,A017,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S001,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S002,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S003,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S005,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S006,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S007,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S008,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S009,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S011,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S012,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
RAW,v15,S013,3,9.928580323855082,0.0,2.9675646543502814,4.440892098500626e-16,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,A002,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,A006,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,A008,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,A010,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,A011,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,A014,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,A015,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,A016,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,A017,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S001,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S002,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S003,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S005,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S006,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S007,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S008,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S009,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S011,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S012,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,avatar,S013,3,8.795238494873047,0.0,4.21184024810791,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,A002,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,A006,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,A008,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,A010,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,A011,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,A014,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,A015,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,A016,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,A017,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,S001,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,S002,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,S003,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,S005,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,S006,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
VCTK,v15,S007,3,9.224697748819986,0.0,3.252932866414388,0.0,"XTTSv2, CosyVoice, YourTTS"
