Dataset,Model,ALS_FID,ALS_CSIM,ALS_Count,Stroke_FID,Stroke_CSIM,Stroke_Count
RAW,MuseTalk,13.045662879943848,0.9377878,1,0.0,0.0,0
VCTK,MuseTalk,29.500787876270437,0.8993785911111111,27,30.983625932173293,0.8933218118181817,33
RAW,EDTalk,80.5894117002134,0.8674863862962963,27,69.27110440803297,0.8895670181818182,33
VCTK,EDTalk,79.00555419921875,0.8493882681481483,27,69.2377542437929,0.8729380190909092,33
